"date_month","monthly_rain","month","year","perc_complete"
2005-02-01,0,2,2005,15
2005-03-01,3.2,3,2005,100
2005-04-01,17.2,4,2005,99
2005-05-01,305.8,5,2005,100
2005-06-01,133,6,2005,22
2005-07-01,NA,7,2005,0
2005-08-01,0,8,2005,4
2005-09-01,395.8,9,2005,99
2005-10-01,445.6,10,2005,100
2005-11-01,6.2,11,2005,88
2005-12-01,0,12,2005,100
2006-01-01,2.2,1,2006,100
2006-02-01,0,2,2006,100
2006-03-01,7.8,3,2006,100
2006-04-01,106.8,4,2006,100
2006-05-01,79,5,2006,78
2006-06-01,293.8,6,2006,99
2006-07-01,208.8,7,2006,43
2006-08-01,146.6,8,2006,56
2006-09-01,281,9,2006,100
2006-10-01,225.4,10,2006,100
2006-11-01,62.8,11,2006,100
2006-12-01,10.8,12,2006,67
2007-01-01,1.8,1,2007,87
2007-02-01,0.4,2,2007,100
2007-03-01,13,3,2007,100
2007-04-01,73.6,4,2007,93
2007-05-01,104,5,2007,98
2007-06-01,138,6,2007,86
2007-07-01,412,7,2007,97
2007-08-01,224.4,8,2007,100
2007-09-01,219.2,9,2007,97
2007-10-01,249.6,10,2007,100
2007-11-01,63.4,11,2007,100
2007-12-01,1.4,12,2007,86
2008-01-01,8,1,2008,100
2008-02-01,34.6,2,2008,91
2008-03-01,0,3,2008,68
2008-04-01,51.8,4,2008,100
2008-05-01,91.2,5,2008,100
2008-06-01,368.4,6,2008,100
2008-07-01,355.4,7,2008,98
2008-08-01,211,8,2008,100
2008-09-01,209.2,9,2008,93
2008-10-01,339.2,10,2008,100
2008-11-01,0,11,2008,97
2008-12-01,0,12,2008,46
2009-01-01,23.6,1,2009,80
2009-02-01,7.2,2,2009,98
2009-03-01,0.2,3,2009,99
2009-04-01,65.6,4,2009,98
2009-05-01,65,5,2009,86
2009-06-01,117.4,6,2009,95
2009-07-01,169.6,7,2009,90
2009-08-01,325.2,8,2009,100
2009-09-01,361.2,9,2009,78
2009-10-01,77.4,10,2009,100
2009-11-01,238.2,11,2009,98
2009-12-01,20.6,12,2009,97
2010-01-01,0.6,1,2010,97
2010-02-01,0,2,2010,98
2010-03-01,31.6,3,2010,100
2010-04-01,88.2,4,2010,100
2010-05-01,441.8,5,2010,100
2010-06-01,343.5,6,2010,100
2010-07-01,309,7,2010,99
2010-08-01,274.2,8,2010,97
2010-09-01,199.6,9,2010,64
2010-10-01,9.4,10,2010,87
2010-11-01,19.6,11,2010,100
2010-12-01,2.2,12,2010,98
2011-01-01,4.6,1,2011,99
2011-02-01,3.2,2,2011,98
2011-03-01,18,3,2011,95
2011-04-01,61,4,2011,90
2011-05-01,90.8,5,2011,98
2011-06-01,182.8,6,2011,99
2011-07-01,374,7,2011,99
2011-08-01,326.2,8,2011,99
2011-09-01,399.4,9,2011,97
2011-10-01,719.8,10,2011,98
2011-11-01,30.6,11,2011,94
2011-12-01,4.3,12,2011,100
2012-01-01,0.8,1,2012,100
2012-02-01,2,2,2012,100
2012-03-01,0.2,3,2012,95
2012-04-01,64.8,4,2012,89
2012-05-01,195.8,5,2012,92
2012-06-01,66.4,6,2012,59
2012-07-01,216,7,2012,65
2012-08-01,176.6,8,2012,97
2012-09-01,312.2,9,2012,99
2012-10-01,204.8,10,2012,98
2012-11-01,0.8,11,2012,97
2012-12-01,9.4,12,2012,89
2013-01-01,1,1,2013,99
2013-02-01,1.4,2,2013,100
2013-03-01,0.8,3,2013,94
2013-04-01,18,4,2013,76
2013-05-01,205,5,2013,68
2013-06-01,218.2,6,2013,99
2013-07-01,334.4,7,2013,100
2013-08-01,437,8,2013,100
2013-09-01,209.6,9,2013,100
2013-10-01,342.3,10,2013,100
2013-11-01,61.6,11,2013,100
2013-12-01,0.8,12,2013,100
2014-01-01,0,1,2014,99
2014-02-01,22,2,2014,97
2014-03-01,33.6,3,2014,98
2014-04-01,49.6,4,2014,99
2014-05-01,207,5,2014,98
2014-06-01,413.2,6,2014,100
2014-07-01,174,7,2014,100
2014-08-01,276,8,2014,100
2014-09-01,278.2,9,2014,100
2014-10-01,319.6,10,2014,100
2014-11-01,7.6,11,2014,99
2014-12-01,0,12,2014,98
2015-01-01,0.2,1,2015,100
2015-02-01,0.2,2,2015,100
2015-03-01,8,3,2015,99
2015-04-01,96.8,4,2015,100
2015-05-01,164.8,5,2015,100
2015-06-01,145.8,6,2015,100
2015-07-01,117.2,7,2015,96
2015-08-01,217.4,8,2015,100
2015-09-01,376.6,9,2015,100
2015-10-01,359.2,10,2015,99
2015-11-01,162.6,11,2015,100
2015-12-01,0,12,2015,95
2016-01-01,0,1,2016,100
2016-02-01,4.8,2,2016,99
2016-03-01,20,3,2016,100
2016-04-01,17.2,4,2016,69
2016-05-01,86.2,5,2016,96
2016-06-01,339.6,6,2016,99
2016-07-01,248.4,7,2016,88
2016-08-01,117.2,8,2016,80
2016-09-01,334.4,9,2016,99
2016-10-01,161.4,10,2016,100
2016-11-01,4.8,11,2016,100
2016-12-01,7.6,12,2016,100
2017-01-01,0,1,2017,93
2017-02-01,0.4,2,2017,98
2017-03-01,0.4,3,2017,99
2017-04-01,17.2,4,2017,99
2017-05-01,74.2,5,2017,97
2017-06-01,260.6,6,2017,98
2017-07-01,289.2,7,2017,97
2017-08-01,68.7,8,2017,59
2017-09-01,176.8,9,2017,97
2017-10-01,110.2,10,2017,91
2017-11-01,1.6,11,2017,80
2017-12-01,15,12,2017,30
2018-01-01,0,1,2018,33
2018-02-01,0.4,2,2018,96
2018-03-01,0.8,3,2018,81
2018-04-01,85,4,2018,86
2018-05-01,120.2,5,2018,85
2018-06-01,136.4,6,2018,91
2018-07-01,95.4,7,2018,77
2018-08-01,320.6,8,2018,99
2018-09-01,250.6,9,2018,100
2018-10-01,291.6,10,2018,99
2018-11-01,49.8,11,2018,99
2018-12-01,1.4,12,2018,96
2019-01-01,0,1,2019,88
2019-02-01,1.2,2,2019,98
2019-03-01,0,3,2019,97
2019-04-01,75.2,4,2019,96
2019-05-01,230.6,5,2019,98
2019-06-01,108.6,6,2019,93
2019-07-01,229.2,7,2019,98
2019-08-01,242.8,8,2019,99
2019-09-01,341.4,9,2019,99
2019-10-01,343.2,10,2019,98
2019-11-01,10.6,11,2019,96
2019-12-01,2.6,12,2019,98
2020-01-01,0,1,2020,17
2020-02-01,0,2,2020,99
2020-03-01,7,3,2020,100
2020-04-01,22,4,2020,99
2020-05-01,482.8,5,2020,99
2020-06-01,333,6,2020,100
2020-07-01,224.2,7,2020,99
2020-08-01,335.6,8,2020,100
2020-09-01,296.8,9,2020,99
2020-10-01,221.4,10,2020,99
2020-11-01,120.8,11,2020,98
2020-12-01,12.8,12,2020,100
2021-01-01,16.8,1,2021,100
2021-02-01,1,2,2021,100
2021-03-01,0,3,2021,100
2021-04-01,29,4,2021,99
2021-05-01,160,5,2021,100
2021-06-01,503.6,6,2021,100
2021-07-01,161.4,7,2021,99
2021-08-01,301.2,8,2021,99
2021-09-01,286,9,2021,98
2021-10-01,171.4,10,2021,99
2021-11-01,14.6,11,2021,99
2021-12-01,2.2,12,2021,99
2022-01-01,1.4,1,2022,30
